BV,av,title,pubtime,tag,up,fans,length,view,danmu,review,favorite
BV1TE411v7pK,75010741,全班唯一看破红尘的学生,Sat Nov  9 11:00:59 2019,"全能打卡挑战,校园,某布君,全程高能,沙雕,VLOG,生活,恶搞,原创,搞笑",某布君,1155000,847,21655362,45486,10976,191571
BV1f4411M7QC,54737593,【何同学】有多快？5G在日常使用中的真实体验,Thu Jun  6 19:59:58 2019,"5G,华为,日常,VLOG,OPPO,OPPO RENO",老师好我叫何同学,4421000,734,20527361,192454,56078,866095
BV1rJ41117X5,76367255,影流之主本人,Wed Nov 20 15:32:20 2019,"自制,影流之主,lol,30天VLOG挑战,英雄联盟,影流之主劫",影流之主1,202000,33,16960941,27466,10037,58395
BV1rx411o74x,56728862,【老番茄】我毕业啦！！,Tue Jun 25 12:00:00 2019,"毕业季,校园,毕业,生活,大学,VLOG,老番茄,复旦",老番茄,11468000,921,15194305,177020,18321,436051
BV1sJ411j7MP,81828927,我被200w+博主抄袭，还被恶意剪辑变低俗恶趣味，不尊重女性，我们原创作者该怎么办？,Fri Jan  3 19:30:34 2020,"全能打卡挑战,校园,学生党,新闻,抖音,抄袭,快手,记录,反抄袭,vlog",顺子Chloe,227000,426,11285964,48535,22090,87926
BV1j7411J7Xs,89147701,只有已婚男士才懂得那种苦吧！,Sat Feb 15 15:25:36 2020,"VLOG,记录,结婚,生活,生活记录,男人,高能,婚姻,吐槽,女人",长白山小野猪,31000,13,10631895,1749,38801,59401
BV1L4411w7Cf,58139410,沙雕网友用生命告诉你如何引起他人注意,Sun Jul  7 12:00:39 2019,"暑期爆肝挑战,恶搞,原创,校园,沙雕,生活,某布君,全程高能,VLOG,搞笑",某布君,1155000,953,10301439,40991,4847,101228
BV1f4411m77B,63757320,我被人强行篡改国籍！你看好了 我是中国人,Thu Aug 15 07:00:06 2019,"暑期爆肝挑战,vlog,搞笑,韩国,日本,营销号,吐槽,逗比,中国人,原创",波桑吃遍世界,1402000,554,10027305,93591,16322,136709
BV1A7411e71Y,84495207,武汉up实拍，冠状病毒肺炎下，超市、商圈、公司现在是什么情况？,Wed Jan 22 08:00:01 2020,"全能打卡挑战,武汉,新闻,冠状病毒,武汉人,冠状病毒肺炎,预防,口罩,病毒,vlog",林晨同学,602000,545,9961598,97277,23949,66650
BV1B4411Q72y,63387098,我患上了抑郁症,Mon Aug 12 19:16:11 2019,"生活,VLOG,小翔哥,抑郁症,社交恐惧",翔翔大作战,6033000,325,9149221,83479,78365,109011
BV1yt411j7zj,60781875,女装大佬跑到舍友床上  结果被教做人,Fri Jul 26 15:28:49 2019,"30天vlog挑战,女装大佬,可爱的男孩子,校园,生活,自制,宿舍,学校,娱乐,高能",勺子八分熟,221000,102,9022484,12912,2746,54103
BV1H7411Y7kG,84850049,武汉UP实拍，封城后的24小时，“空城”武汉的物价、交通 、生活状态,Fri Jan 24 17:30:52 2020,"全能打卡挑战,武汉,空城,武汉封城,封城,新型冠状病毒,冠状病毒,武汉人,vlog,新冠肺炎",林晨同学,602000,1010,8706553,180378,28592,206396
BV1ft411L7da,60602300,【老番茄】我去做游戏啦！,Fri Jul 26 12:00:02 2019,"Vlog夏日大作战,VLOG,生活,老番茄,新人,网易,楚留香,一梦江湖,搞笑",老番茄,11468000,826,8627544,189023,14171,169388
BV1Kx411R7MY,57300603,"信誓蛋蛋极限操作失败, 被送进了医院【大结局】",Wed Jul  3 09:30:48 2019,"信誓蛋蛋,医院,失败,放弃,受伤,VLOG,大结局,Vlog夏日大作",信誓蛋蛋,4823000,1003,8443267,79336,72485,49881
BV1z7411k7wy,85120948,B站7000w播放能赚多少钱？兑现承诺，一次用完！,Sun Jan 26 18:18:05 2020,"抗击肺炎大作战,励志,生活记录,记录,正能量,梦想,努力,VLOG,励志短片,高能",宝剑嫂,2870000,1018,8156180,40226,8370,175121
BV17J41127rf,76455486,网上的打字赚钱是真的吗？小伙加了群之后瞬间就傻了,Thu Nov 21 17:30:19 2019,"VLOG,骗子,兼职,骗术,吐槽,揭秘,骗局",翔翔大作战,6033000,855,7820078,45698,26449,120590
BV1vJ411H7mb,82866963,偷偷在男朋友被子下面放100个尖叫鸡，他回家后...,Fri Jan 10 20:36:48 2020,"全能打卡挑战,生活,高能,搞笑视频,VLOG,男朋友,恶作剧,情侣,整蛊",宝剑嫂,2870000,526,7787011,85748,5446,54123
